SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
1,Conferentie-TUD,1c:aa:07:7b:28:06,-41,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:28:0b,-40,5220,[WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:09,-40,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,eduroam,1c:aa:07:7b:28:0f,-40,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,TUvisitor,1c:aa:07:7b:28:0c,-40,5220,[ESS],0

1,Conferentie-TUD,1c:aa:07:7b:37:d6,-72,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:37:d9,-84,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,TUvisitor,1c:aa:07:7b:37:dc,-86,5680,[ESS],0

1,Conferentie-TUD,00:1b:90:76:ce:16,-85,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,00:1b:90:76:ce:14,-85,2462,[WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:28:04,-43,2412,[WPA2-EAP-CCMP][ESS],0

1,eduroam,1c:aa:07:7b:37:d0,-72,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,KLINUX,00:0e:a6:27:4d:fb,-90,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

1,Dubbele antenne,6c:fd:b9:5a:68:6c,-95,2427,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],0

1,TUvisitor,1c:aa:07:7b:37:d3,-69,2437,[ESS],0

1,,00:14:bf:dc:01:ff,-92,2437,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],0

1,TUvisitor,00:1b:90:76:ce:13,-85,2462,[ESS],0

2,Conferentie-TUD,1c:aa:07:7b:28:06,-41,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,tudelft-dastud,1c:aa:07:7b:28:0b,-40,5220,[WPA2-EAP-CCMP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:28:09,-40,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,eduroam,1c:aa:07:7b:28:0f,-40,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,TUvisitor,1c:aa:07:7b:28:0c,-40,5220,[ESS],0

2,Conferentie-TUD,1c:aa:07:7b:37:d6,-72,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:37:d9,-84,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,TUvisitor,1c:aa:07:7b:37:dc,-86,5680,[ESS],0

2,Conferentie-TUD,00:1b:90:76:ce:16,-85,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,tudelft-dastud,00:1b:90:76:ce:14,-85,2462,[WPA2-EAP-CCMP][ESS],0

2,tudelft-dastud,1c:aa:07:7b:28:04,-43,2412,[WPA2-EAP-CCMP][ESS],0

2,eduroam,1c:aa:07:7b:37:d0,-72,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,KLINUX,00:0e:a6:27:4d:fb,-90,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

2,Dubbele antenne,6c:fd:b9:5a:68:6c,-95,2427,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],0

