SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
282,Conferentie-TUD,00:1b:90:76:d3:f9,-62,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

282,tudelft-dastud,00:1b:90:76:d3:fb,-62,5680,[WPA2-EAP-CCMP][ESS],0

282,eduroam,00:1b:90:76:d3:ff,-62,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

282,Conferentie-TUD,00:1b:90:76:d3:f6,-51,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

282,tudelft-dastud,00:1b:90:76:d3:f4,-52,2412,[WPA2-EAP-CCMP][ESS],0

282,eduroam,00:1b:90:76:d3:f0,-52,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

282,P2P-Next,5c:d9:98:e3:e6:c4,-88,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

282,SLDE-™-2,5c:96:9d:65:76:8d,-81,2462,[WPA2-PSK-CCMP][ESS],0

282,TUvisitor,00:1b:90:76:d3:fc,-62,5680,[ESS],0

282,TUvisitor,00:1b:90:76:d3:f3,-52,2412,[ESS],0

282,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-83,5500,[WPA2-PSK-CCMP][ESS],0

282,mfold-dlink,00:26:5a:a9:99:46,-58,2447,[WPA2-PSK-CCMP][WPS][ESS],0

282,sape,20:c9:d0:18:43:f3,-82,2412,[WPA2-PSK-CCMP][ESS],0

282,sape,20:c9:d0:18:43:f4,-85,5540,[WPA2-PSK-CCMP][ESS],0

282,C150BRS4,00:22:f7:20:a1:98,-71,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

282,mfold-linksys,00:25:9c:ca:87:ee,-66,2447,[WPA2-PSK-CCMP][WPS][ESS],0

282,Conferentie-TUD,1c:aa:07:7b:28:09,-82,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

282,TUvisitor,1c:aa:07:7b:28:0c,-83,5220,[ESS],0

282,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

282,tudelft-dastud,1c:aa:07:7b:28:04,-80,2412,[WPA2-EAP-CCMP][ESS],0

282,Conferentie-TUD,b8:be:bf:b7:7c:46,-84,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

282,tudelft-dastud,b8:be:bf:b7:7c:44,-84,2462,[WPA2-EAP-CCMP][ESS],0

282,SitecomC2D19C,00:0c:f6:c2:d1:9c,-91,2462,[WPA2-PSK-CCMP][WPS][ESS],0

282,TarValon,58:6d:8f:cb:2d:e0,-91,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

282,7inova_003138,04:84:8a:00:31:38,-93,2437,[WPS][ESS],0

283,Conferentie-TUD,00:1b:90:76:d3:f9,-62,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

283,tudelft-dastud,00:1b:90:76:d3:fb,-62,5680,[WPA2-EAP-CCMP][ESS],0

283,eduroam,00:1b:90:76:d3:ff,-62,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

283,Conferentie-TUD,00:1b:90:76:d3:f6,-51,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

283,tudelft-dastud,00:1b:90:76:d3:f4,-52,2412,[WPA2-EAP-CCMP][ESS],0

283,eduroam,00:1b:90:76:d3:f0,-52,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

283,P2P-Next,5c:d9:98:e3:e6:c4,-88,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

283,SLDE-™-2,5c:96:9d:65:76:8d,-81,2462,[WPA2-PSK-CCMP][ESS],0

283,TUvisitor,00:1b:90:76:d3:fc,-62,5680,[ESS],0

283,TUvisitor,00:1b:90:76:d3:f3,-52,2412,[ESS],0

283,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-83,5500,[WPA2-PSK-CCMP][ESS],0

283,mfold-dlink,00:26:5a:a9:99:46,-58,2447,[WPA2-PSK-CCMP][WPS][ESS],0

283,sape,20:c9:d0:18:43:f3,-82,2412,[WPA2-PSK-CCMP][ESS],0

283,sape,20:c9:d0:18:43:f4,-85,5540,[WPA2-PSK-CCMP][ESS],0

283,C150BRS4,00:22:f7:20:a1:98,-71,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

283,mfold-linksys,00:25:9c:ca:87:ee,-66,2447,[WPA2-PSK-CCMP][WPS][ESS],0

283,Conferentie-TUD,1c:aa:07:7b:28:09,-82,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

283,TUvisitor,1c:aa:07:7b:28:0c,-83,5220,[ESS],0

283,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

283,tudelft-dastud,1c:aa:07:7b:28:04,-80,2412,[WPA2-EAP-CCMP][ESS],0

283,Conferentie-TUD,b8:be:bf:b7:7c:46,-84,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

283,tudelft-dastud,b8:be:bf:b7:7c:44,-84,2462,[WPA2-EAP-CCMP][ESS],0

283,SitecomC2D19C,00:0c:f6:c2:d1:9c,-91,2462,[WPA2-PSK-CCMP][WPS][ESS],0

283,TarValon,58:6d:8f:cb:2d:e0,-91,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

283,7inova_003138,04:84:8a:00:31:38,-93,2437,[WPS][ESS],0

284,Conferentie-TUD,00:1b:90:76:d3:f9,-62,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

284,tudelft-dastud,00:1b:90:76:d3:fb,-62,5680,[WPA2-EAP-CCMP][ESS],0

284,eduroam,00:1b:90:76:d3:ff,-62,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

284,Conferentie-TUD,00:1b:90:76:d3:f6,-51,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

284,tudelft-dastud,00:1b:90:76:d3:f4,-52,2412,[WPA2-EAP-CCMP][ESS],0

284,eduroam,00:1b:90:76:d3:f0,-52,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

284,P2P-Next,5c:d9:98:e3:e6:c4,-88,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

284,SLDE-™-2,5c:96:9d:65:76:8d,-81,2462,[WPA2-PSK-CCMP][ESS],0

284,TUvisitor,00:1b:90:76:d3:fc,-62,5680,[ESS],0

284,TUvisitor,00:1b:90:76:d3:f3,-52,2412,[ESS],0

284,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-83,5500,[WPA2-PSK-CCMP][ESS],0

284,mfold-dlink,00:26:5a:a9:99:46,-58,2447,[WPA2-PSK-CCMP][WPS][ESS],0

284,sape,20:c9:d0:18:43:f3,-82,2412,[WPA2-PSK-CCMP][ESS],0

284,sape,20:c9:d0:18:43:f4,-85,5540,[WPA2-PSK-CCMP][ESS],0

284,C150BRS4,00:22:f7:20:a1:98,-71,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

284,mfold-linksys,00:25:9c:ca:87:ee,-66,2447,[WPA2-PSK-CCMP][WPS][ESS],0

284,Conferentie-TUD,1c:aa:07:7b:28:09,-82,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

284,TUvisitor,1c:aa:07:7b:28:0c,-83,5220,[ESS],0

284,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

284,tudelft-dastud,1c:aa:07:7b:28:04,-80,2412,[WPA2-EAP-CCMP][ESS],0

284,Conferentie-TUD,b8:be:bf:b7:7c:46,-84,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

