SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
1,Conferentie-TUD,1c:aa:07:6e:31:a6,-66,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,00:1b:90:76:d3:fb,-73,5700,[WPA2-EAP-CCMP][ESS],0

1,eduroam,00:1b:90:76:d3:ff,-73,5700,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,00:1b:90:76:d3:f9,-73,5700,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,eduroam,00:1b:90:76:d3:f0,-70,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,00:1b:90:76:d3:f6,-70,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,00:1b:90:76:d3:f4,-70,2462,[WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:39:16,-73,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:06,-80,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:28:04,-81,2412,[WPA2-EAP-CCMP][ESS],0

1,eduroam,24:01:c7:76:2a:30,-84,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,P2P-Next,5c:d9:98:e3:e6:c4,-87,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

1,SLDE-™-2,5c:96:9d:65:76:8d,-88,2462,[WPA2-PSK-CCMP][ESS],0

1,mfold-dlink,00:26:5a:a9:99:46,-89,2447,[WPA2-PSK-CCMP][WPS][ESS],0

1,SANDER,1c:af:f7:18:0e:4a,-89,2462,[WPA2-PSK-CCMP][ESS],0

1,mfold-linksys,00:25:9c:ca:87:ee,-91,2447,[WPA2-PSK-CCMP][WPS][ESS],0

1,asus_24g,50:46:5d:6e:1a:08,-91,2462,[WPA2-PSK-CCMP][WPS][ESS],0

1,B52,64:70:02:85:1a:00,-93,2432,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],0

1,TUvisitor,1c:aa:07:6e:31:a3,-67,2462,[ESS],0

1,TUvisitor,00:1b:90:76:d3:fc,-73,5700,[ESS],0

1,TUvisitor,00:1b:90:76:d3:f3,-70,2462,[ESS],0

1,TUvisitor,1c:aa:07:7b:39:13,-73,2412,[ESS],0

2,Conferentie-TUD,1c:aa:07:6e:31:a6,-66,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,tudelft-dastud,00:1b:90:76:d3:fb,-73,5700,[WPA2-EAP-CCMP][ESS],0

